date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths,year,month,day,time
1922-12-08 02:02:00,Japan,32.7,130.1,5.0,6.5,,0,0,0,0,0,1922,12,8,02:02:00
1923-02-03 16:01:00,Russian Federation,53.853,160.761,35.0,8.5,tsunami,0,0,0,0,0,1923,2,3,16:01:00
1923-03-24 12:40:00,China,30.553,101.258,25.0,7.2,,0,0,450,5000,0,1923,3,24,12:40:00
1923-04-13 15:31:00,Russian Federation,55.415,162.585,35.0,7.1,tsunami,0,0,18,0,0,1923,4,13,15:31:00
1923-05-25 22:21:00,Iran,35.2,59.2,,5.7,,0,0,2219,0,0,1923,5,25,22:21:00
1923-09-01 02:58:00,Japan,35.405,139.084,35.0,7.9,"tsunami, fire",0,0,142807,143000,105000,1923,9,1,02:58:00
1923-09-09 22:03:00,Bangladesh,24.943,90.32,35.0,7.1,,0,0,50,0,0,1923,9,9,22:03:00
1923-09-17 07:09:00,Iran,37.2,57.7,,6.4,,0,0,157,0,0,1923,9,17,07:09:00
1923-09-22 20:47:00,Iran,29.12,56.928,35.0,6.9,,0,0,290,0,0,1923,9,22,20:47:00
1923-12-14 10:31:00,Colombia,1.0,-77.5,,5.3,,0,0,300,0,0,1923,12,14,10:31:00
1924-01-14 20:50:00,Japan,35.5,139.2,5.0,7.3,,0,0,19,0,0,1924,1,14,20:50:00
1924-03-03 08:01:00,Ecuador,-1.6,-78.6,,6.9,,0,0,40,0,0,1924,3,3,08:01:00
1924-04-14 16:20:00,Philippines,7.023,125.954,33.0,8.3,,0,0,0,0,0,1924,4,14,16:20:00
1924-07-03 04:40:00,China,36.632,83.90299999999998,35.0,7.1,,0,0,255,0,0,1924,7,3,04:40:00
1924-07-12 15:12:00,Kyrgyzstan,40.565,73.39699999999998,25.0,6.8,,0,0,41,0,0,1924,7,12,15:12:00
1924-09-13 14:34:00,Turkey,39.864,41.87600000000001,35.0,6.8,,0,0,30,0,0,1924,9,13,14:34:00
1925-03-16 14:42:00,China,25.688,100.494,25.0,7.0,,0,0,5808,5000,0,1925,3,16,14:42:00
1925-05-23 02:09:00,Japan,35.6,134.8,5.0,6.8,fire,0,0,428,0,0,1925,5,23,02:09:00
1925-06-29 14:42:00,United States,34.5,-119.6,,6.2,,0,0,13,0,0,1925,6,29,14:42:00
1925-12-14 00:00:00,Iran,34.6,58.1,,5.5,,0,0,500,0,0,1925,12,14,00:00:00
1925-12-18 05:53:00,Iran,28.5,51.2,,5.5,,0,0,2,0,0,1925,12,18,05:53:00
1926-03-18 14:06:00,Turkey,35.787,29.246,35.0,6.9,,0,0,0,0,0,1926,3,18,14:06:00
1926-06-26 19:46:00,Greece,36.605,26.888,101.8,7.7,,0,0,110,0,0,1926,6,26,19:46:00
1926-06-28 03:23:00,Indonesia,-0.051,101.522,35.0,6.8,,0,0,222,0,0,1926,6,28,03:23:00
1926-10-22 19:59:00,Turkey,40.7,43.7,7.0,5.7,,0,0,370,0,0,1926,10,22,19:59:00
1926-11-05 07:55:00,Nicaragua,12.67,-86.736,35.0,7.1,,0,0,0,0,0,1926,11,5,07:55:00
1927-03-07 09:27:00,Japan,35.802,134.924,9.6,7.6,"tsunami, fire",0,0,2925,2925,0,1927,3,7,09:27:00
1927-03-20 00:00:00,China,24.1,102.0,,5.0,,0,0,7,0,0,1927,3,20,00:00:00
1927-04-14 06:23:00,Argentina,-32.477,-69.675,35.0,7.2,,0,0,8,0,0,1927,4,14,06:23:00
1927-05-22 22:32:00,China,37.386,102.311,25.0,7.9,,0,0,80000,200000,0,1927,5,22,22:32:00
1927-07-11 13:04:00,Mandatory Palestine and Transjordan,32.0,35.5,33.0,6.3,,0,0,361,0,0,1927,7,11,13:04:00
1927-08-24 18:09:00,Taiwan,23.118,120.237,35.0,6.8,,0,0,11,0,0,1927,8,24,18:09:00
1928-03-22 04:17:00,Mexico,16.127,-96.505,35.0,7.5,tsunami,0,0,0,0,0,1928,3,22,04:17:00
1928-03-31 00:29:00,Turkey,38.1,27.1,,6.5,,0,0,170,0,0,1928,3,31,00:29:00
1928-04-09 17:34:00,Peru,-13.731,-70.628,35.0,6.8,,0,0,10,0,0,1928,4,9,17:34:00
1928-04-14 09:00:00,Bulgaria,42.402,25.667,15.0,6.8,,0,0,107,107,0,1928,4,14,09:00:00
1928-04-18 19:22:00,Bulgaria,42.386,25.087,15.0,6.8,,0,0,103,0,0,1928,4,18,19:22:00
1928-05-14 22:14:00,Peru,-5.261,-78.559,35.0,7.2,,0,0,29,0,0,1928,5,14,22:14:00
1928-08-21 19:01:00,Iran,37.3,57.9,9.0,5.4,,0,0,10,0,0,1928,8,21,19:01:00
