date,year,month,day,time,country,latitude,longitude,depth,magnitude,secondary_effects,deaths,continent,log_deaths
1999-11-24 16:40:00,1999,11,24,16:40:00,China,24.586,102.845,15.0,5.0,,1,Asia,0.0
2000-01-14 22:09:00,2000,1,14,22:09:00,China,25.549,101.118,13.6,5.5,,7,Asia,1.9459101490553132
2000-01-14 23:37:00,2000,1,14,23:37:00,China,25.567,101.071,24.9,5.9,,7,Asia,1.9459101490553132
2000-01-26 20:55:00,2000,1,26,20:55:00,China,24.148000000000003,103.654,35.0,4.9,,1,Asia,0.0
2000-08-21 13:25:00,2000,8,21,13:25:00,China,25.726,102.24,5.4,4.9,,1,Asia,0.0
2001-02-23 00:09:00,2001,2,23,00:09:00,China,29.459,101.079,7.0,5.6,,3,Asia,1.0986122886681098
2001-04-12 10:47:00,2001,4,12,10:47:00,China,24.806,99.051,10.1,5.6,landslide,2,Asia,0.6931471805599453
2001-05-23 21:10:00,2001,5,23,21:10:00,China,27.619,100.901,2.1,5.4,,2,Asia,0.6931471805599453
2001-10-27 05:35:00,2001,10,27,05:35:00,China,26.289,100.586,5.8,5.5,,1,Asia,0.0
2002-12-14 13:27:00,2002,12,14,13:27:00,China,39.754,97.391,5.0,5.5,,2,Asia,0.6931471805599453
2003-02-24 02:03:00,2003,2,24,02:03:00,China,39.515,77.204,14.0,6.3,,268,Asia,5.5909869805108565
2003-02-25 03:52:00,2003,2,25,03:52:00,China,39.402,77.358,18.7,5.3,,5,Asia,1.6094379124341003
2003-05-04 15:44:00,2003,5,4,15:44:00,China,39.305,77.142,10.0,5.8,,1,Asia,0.0
2003-07-21 15:16:00,2003,7,21,15:16:00,China,25.958,101.26,35.0,5.9,landslide,16,Asia,2.772588722239781
2003-08-16 10:58:00,2003,8,16,10:58:00,China,43.779,119.718,23.3,5.4,,4,Asia,1.3862943611198906
2003-10-16 12:28:00,2003,10,16,12:28:00,China,25.882,101.256,35.0,5.6,,3,Asia,1.0986122886681098
2003-10-25 12:41:00,2003,10,25,12:41:00,China,38.386,100.978,12.0,5.8,,9,Asia,2.1972245773362196
2003-10-25 12:47:00,2003,10,25,12:47:00,China,38.371,100.994,13.5,5.8,,0,Asia,-inf
2003-11-13 02:35:00,2003,11,13,02:35:00,China,34.713,103.865,35.0,5.1,,1,Asia,0.0
2003-11-14 18:49:00,2003,11,14,18:49:00,China,27.462,103.974,35.0,5.6,,4,Asia,1.3862943611198906
2004-08-10 10:26:00,2004,8,10,10:26:00,China,27.318,103.917,13.2,5.3,,4,Asia,1.3862943611198906
2005-07-25 15:43:00,2005,7,25,15:43:00,China,46.88399999999999,125.03,43.3,5.0,,1,Asia,0.0
2005-10-27 11:18:00,2005,10,27,11:18:00,China,23.604,107.798,10.0,4.2,,1,Asia,0.0
2005-11-26 00:49:00,2005,11,26,00:49:00,China,29.714,115.663,10.5,5.2,,16,Asia,2.772588722239781
2006-07-22 01:10:00,2006,7,22,01:10:00,China,27.995,104.138,55.0,4.9,landslide,22,Asia,3.091042453358316
2006-08-25 05:51:00,2006,8,25,05:51:00,China,28.012,104.151,21.0,5.0,landslide,1,Asia,0.0
2007-06-02 21:34:00,2007,6,2,21:34:00,China,23.02,101.01,5.0,6.1,landslide,3,Asia,1.0986122886681098
2008-05-12 06:28:00,2008,5,12,06:28:00,China,31.002,103.322,19.0,7.9,landslide,88287,Asia,11.38834815038527
2008-05-25 08:21:00,2008,5,25,08:21:00,China,32.56,105.423,18.0,6.1,landslide,8,Asia,2.0794415416798357
2008-06-17 05:51:00,2008,6,17,05:51:00,China,32.761,105.554,10.0,4.8,,2,Asia,0.6931471805599453
2008-08-21 12:24:00,2008,8,21,12:24:00,China,25.1,97.9,,5.9,,0,Asia,-inf
2008-08-30 08:30:00,2008,8,30,08:30:00,China,26.0,101.9,10.0,5.7,,41,Asia,3.713572066704308
2008-10-06 16:30:00,2008,10,6,16:30:00,China,,,,6.4,,0,Asia,-inf
2009-07-09 11:19:00,2009,7,9,11:19:00,China,,,,5.7,,0,Asia,-inf
2010-04-14 23:49:00,2010,4,14,23:49:00,China,,,,6.9,landslide,2698,Asia,7.900266036767701
2011-03-10 04:58:00,2011,3,10,04:58:00,China,,,,5.4,,0,Asia,-inf
