state,county,year,pop_estimate
Tennessee,Houston County,2017,8158
Tennessee,Houston County,2018,8234
Tennessee,Houston County,2019,8201
Tennessee,Humphreys County,2010,18558
Tennessee,Humphreys County,2011,18403
Tennessee,Humphreys County,2012,18287
Tennessee,Humphreys County,2013,18244
Tennessee,Humphreys County,2014,18147
Tennessee,Humphreys County,2015,18157
Tennessee,Humphreys County,2016,18383
Tennessee,Humphreys County,2017,18503
Tennessee,Humphreys County,2018,18551
Tennessee,Humphreys County,2019,18582
Tennessee,Jackson County,2010,11625
Tennessee,Jackson County,2011,11558
Tennessee,Jackson County,2012,11595
Tennessee,Jackson County,2013,11561
Tennessee,Jackson County,2014,11524
Tennessee,Jackson County,2015,11534
Tennessee,Jackson County,2016,11611
Tennessee,Jackson County,2017,11702
Tennessee,Jackson County,2018,11777
Tennessee,Jackson County,2019,11786
Tennessee,Jefferson County,2010,51714
Tennessee,Jefferson County,2011,51908
Tennessee,Jefferson County,2012,52300
Tennessee,Jefferson County,2013,52134
Tennessee,Jefferson County,2014,52408
Tennessee,Jefferson County,2015,53011
Tennessee,Jefferson County,2016,53148
Tennessee,Jefferson County,2017,53730
Tennessee,Jefferson County,2018,54012
Tennessee,Jefferson County,2019,54495
Tennessee,Johnson County,2010,18286
Tennessee,Johnson County,2011,18223
Tennessee,Johnson County,2012,18159
Tennessee,Johnson County,2013,18014
Tennessee,Johnson County,2014,17935
Tennessee,Johnson County,2015,17842
Tennessee,Johnson County,2016,17759
Tennessee,Johnson County,2017,17603
Tennessee,Johnson County,2018,17774
Tennessee,Johnson County,2019,17788
Tennessee,Knox County,2010,432938
Tennessee,Knox County,2011,436776
Tennessee,Knox County,2012,440791
Tennessee,Knox County,2013,444314
Tennessee,Knox County,2014,447903
Tennessee,Knox County,2015,451297
Tennessee,Knox County,2016,456089
Tennessee,Knox County,2017,461565
Tennessee,Knox County,2018,466258
Tennessee,Knox County,2019,470313
Tennessee,Lake County,2010,7827
Tennessee,Lake County,2011,7793
Tennessee,Lake County,2012,7715
Tennessee,Lake County,2013,7713
Tennessee,Lake County,2014,7680
Tennessee,Lake County,2015,7602
Tennessee,Lake County,2016,7531
Tennessee,Lake County,2017,7451
Tennessee,Lake County,2018,7407
Tennessee,Lake County,2019,7016
Tennessee,Lauderdale County,2010,27721
Tennessee,Lauderdale County,2011,27701
Tennessee,Lauderdale County,2012,27694
Tennessee,Lauderdale County,2013,27573
Tennessee,Lauderdale County,2014,27357
Tennessee,Lauderdale County,2015,26903
Tennessee,Lauderdale County,2016,25320
Tennessee,Lauderdale County,2017,26093
Tennessee,Lauderdale County,2018,25997
Tennessee,Lauderdale County,2019,25633
Tennessee,Lawrence County,2010,41967
Tennessee,Lawrence County,2011,42162
Tennessee,Lawrence County,2012,42154
Tennessee,Lawrence County,2013,42028
Tennessee,Lawrence County,2014,42304
Tennessee,Lawrence County,2015,42592
Tennessee,Lawrence County,2016,43056
Tennessee,Lawrence County,2017,43388
Tennessee,Lawrence County,2018,43771
Tennessee,Lawrence County,2019,44142
Tennessee,Lewis County,2010,12173
Tennessee,Lewis County,2011,12146
Tennessee,Lewis County,2012,11942
Tennessee,Lewis County,2013,11994
Tennessee,Lewis County,2014,11886
Tennessee,Lewis County,2015,11875
Tennessee,Lewis County,2016,11891
Tennessee,Lewis County,2017,12025
Tennessee,Lewis County,2018,12074
Tennessee,Lewis County,2019,12268
Tennessee,Lincoln County,2010,33382
Tennessee,Lincoln County,2011,33387
Tennessee,Lincoln County,2012,33379
Tennessee,Lincoln County,2013,33499
Tennessee,Lincoln County,2014,33443
Tennessee,Lincoln County,2015,33609
Tennessee,Lincoln County,2016,33564
Tennessee,Lincoln County,2017,33892
Tennessee,Lincoln County,2018,34189
Tennessee,Lincoln County,2019,34366
Tennessee,Loudon County,2010,48710
Tennessee,Loudon County,2011,49188
Tennessee,Loudon County,2012,49823
Tennessee,Loudon County,2013,50386
Tennessee,Loudon County,2014,50586
