date,country,latitude,longitude,depth,magnitude,secondary_effects,pde_shaking_deaths,pde_total_deaths,utsu_total_deaths,em_dat_total_deaths,others_source_deaths
1936-08-17 00:00,China,26.6,103.0,,5.5 Muk,,0,0,30,0,0
1936-08-23 21:12,Indonesia,5.296,94.759,35.0,7.1 Ms,T,0,0,91,9,0
1937-07-26 03:47,Mexico,18.523,-95.878,35.0,7.2 mb,,0,0,34,0,0
1937-07-31 20:35,China,35.252,115.153,25.0,6.9 Muk,,0,0,3833,0,0
1937-08-20 11:59,Philippines,14.318,121.547,35.0,7.3 Mw,T,0,0,1,0,0
1937-12-23 13:18,Mexico,17.431,-98.287,35.0,7.4 Mw,,0,0,4,0,0
1938-04-19 10:59,Turkey (see 1938 Kırşehir earthquake),39.439,34.015,35.0,6.8 Muk,,0,0,155,149,0
1938-05-19 17:08,Indonesia,-0.366,119.525,49.4,7.5 Mw,T,0,0,8,0,0
1938-11-05 08:43,Japan,37.009,142.045,35.0,7.9 Mw,T,0,0,1,0,0
1939-01-25 03:32,Chile (see 1939 Chillán earthquake),-36.2,-72.2,0.0,7.7 Mw,,0,0,28000,30000,0
1939-04-30 02:55,Solomon Islands,-9.295,159.234,35.0,7.9 Mw,T,0,0,12,0,0
1939-05-01 05:58,Japan,39.839,139.969,35.0,7.0 Ms,T,0,0,27,0,0
1939-06-22 19:19,Ghana,5.18,-0.13,13.0,6.4 Muk,,0,0,22,0,0
1939-09-19 00:00,China,24.4,102.5,,5.5 Muk,,0,0,1,0,0
1939-12-26 23:57,Turkey (see 1939 Erzincan earthquake),39.77,39.533,35.0,7.8 Ms,,0,0,32968,32962,0
1940-04-06 13:43,China,23.9,102.3,,6.0 Muk,,0,0,181,0,0
1940-05-07 22:23,Georgia,41.7,43.8,19.0,6.0 Muk,,0,0,5,0,0
1940-05-19 04:36,United States (see 1940 El Centro earthquake),33.222,-115.697,15.0,6.9 Muk,,0,0,9,9,0
1940-05-24 16:33,Peru,-11.119,-77.629,50.1,7.5 Mw,T,0,0,250,249,0
1940-06-19 00:00,China,24.4,102.5,,5.5 Muk,,0,0,2,0,0
1940-08-01 15:08,Japan,44.508,139.829,35.0,7.5 Mw,T,0,0,10,0,0
1940-11-10 01:39,Romania (see 1940 Vrancea earthquake),45.773,26.655,122.0,7.3 mb,,0,0,1000,980,0
1941-01-11 08:32,Yemen,16.4,43.5,,5.9 Muk,,0,0,1200,0,0
1941-02-16 16:38,Iran,33.5,58.6,,6.3 Muk,,0,0,680,0,0
1941-04-15 19:09,Mexico,18.677,-102.957,35.0,7.6 Mw,,0,0,90,0,0
1941-05-05 15:18,China,47.0,127.2,,6.0 Muk,,0,0,132,0,0
1941-05-16 07:14,China,23.514,99.408,25.0,6.9 Muk,,0,0,16,0,0
1941-06-26 11:52,India,12.149,92.478,49.1,7.7 Mw,T,0,0,0,0,0
1941-09-10 21:53,Turkey (see 1941 Van–Erciş earthquake),39.5,43.3,28.0,6.0 Muk,,0,0,500,0,0
1941-10-08 15:24,China,31.7,102.3,,6.0 Muk,,0,0,139,0,0
1941-11-12 10:04,Turkey,39.7,39.4,70.0,5.9 Muk,,0,0,15,0,0
1941-11-18 16:46,Japan,32.0,132.0,0.0,7.7 Mw,T,0,0,2,0,0
1941-12-16 19:19,Taiwan (see 1941 Chungpu earthquake),23.251,120.391,35.0,7.1 Mw,,0,0,357,0,0
1941-12-26 14:48,Burma,21.076,99.145,25.0,7.0 Ms,,0,0,0,0,0
1942-02-01 17:30,China,23.1,100.3,,6.8 Muk,,0,0,90,0,0
1942-05-14 02:13,Ecuador,0.012,-79.902,35.0,7.8 Mw,,0,0,200,200,0
1942-08-06 23:37,Guatemala,13.78,-90.913,35.0,7.7 Mw,,0,0,38,0,0
1942-08-24 22:50,Peru,-14.975,-74.92,35.0,7.7 Mw,T,0,0,30,0,0
1942-08-27 06:14,Albania,41.7,20.4,33.0,6.0 Muk,,0,0,43,0,0
1942-12-20 14:03,Turkey (see 1942 Niksar–Erbaa earthquake),40.671,36.45,35.0,7.2 Mw,,0,0,3000,3000,0
1943-01-20 15:32,Turkey,40.8,30.5,,6.6 Muk,,0,0,285,0,0
1943-02-22 09:20,Mexico,17.75,-101.5,0.0,7.4 Mw,,0,0,11,0,0
1943-04-06 16:07,Chile,-30.75,-72.0,0.0,8.2 Mw,T,0,0,18,0,0
1943-06-20 15:33,Turkey (see 1943 Adapazarı–Hendek earthquake),40.6,30.5,15.0,6.2 Muk,,0,0,336,0,0
1943-07-23 14:53,Indonesia,-9.5,110.0,90.0,7.6 mb,,0,0,213,213,0
1943-09-10 08:36,Japan (see 1943 Tottori earthquake),35.25,134.0,0.0,7.0 Mw,F,0,0,1083,1083,0
1943-11-26 22:20,Turkey (see 1943 Tosya–Ladik earthquake),41.0,34.0,0.0,7.5 Mw,,0,0,4020,2824,0
1943-12-02 05:08,Taiwan,22.9,121.5,0.0,6.5 Ms,,0,0,3,0,0
1944-01-15 23:49,Argentina (see 1944 San Juan earthquake),-31.25,-68.75,50.0,7.1 Mw,,0,0,8000,10000,0
