city,state,county_name,latitude,longitude,population,density,source,zips
Norris,Tennessee,Anderson,36.2136,-84.0629,3229.0,74.0,polygon,37705 37828
Bean Station,Tennessee,Grainger,36.3322,-83.2852,3113.0,200.0,polygon,37708
Shackle Island,Tennessee,Sumner,36.3775,-86.6168,3082.0,214.0,polygon,37075
Dyer,Tennessee,Gibson,36.071,-88.9921,3062.0,371.0,polygon,38330
Monterey,Tennessee,Putnam,36.1446,-85.2643,3061.0,369.0,polygon,38574
Dresden,Tennessee,Weakley,36.279,-88.6941,2937.0,190.0,polygon,38225
Brighton,Tennessee,Tipton,35.4812,-89.7354,2908.0,369.0,polygon,38011
Sale Creek,Tennessee,Hamilton,35.3895,-85.0875,2872.0,36.0,polygon,37373
Belle Meade,Tennessee,Davidson,36.0994,-86.8562,2858.0,359.0,polygon,37205 37215
Apison,Tennessee,Hamilton,35.0105,-85.0089,2830.0,76.0,polygon,37302
Blountville,Tennessee,Sullivan,36.533,-82.329,2813.0,220.0,polygon,37617
Woodbury,Tennessee,Cannon,35.8247,-86.0725,2807.0,568.0,polygon,37190
Kingston Springs,Tennessee,Cheatham,36.0841,-87.1039,2727.0,104.0,polygon,37082
Tusculum,Tennessee,Greene,36.175,-82.7454,2689.0,213.0,polygon,37616 37745
Clifton,Tennessee,Wayne,35.3792,-87.9927,2655.0,184.0,polygon,38425
Mountain City,Tennessee,Johnson,36.4695,-81.8049,2597.0,279.0,polygon,37683
Halls,Tennessee,Lauderdale,35.8795,-89.405,2506.0,216.0,polygon,38037 38040
Maynardville,Tennessee,Union,36.247,-83.8057,2428.0,173.0,polygon,37807
Park City,Tennessee,Lincoln,35.0782,-86.5834,2424.0,171.0,polygon,37334
Waynesboro,Tennessee,Wayne,35.3236,-87.7593,2419.0,218.0,polygon,38485
Fairmount,Tennessee,Hamilton,35.1844,-85.3302,2418.0,208.0,polygon,37377
Westmoreland,Tennessee,Sumner,36.562,-86.246,2413.0,222.0,polygon,37186
Pine Crest,Tennessee,Carter,36.2966,-82.3107,2412.0,482.0,polygon,37601
Coalfield,Tennessee,Morgan,36.0219,-84.4414,2385.0,37.0,polygon,37719 37840 37748
Decherd,Tennessee,Franklin,35.2156,-86.0756,2371.0,190.0,polygon,37398 37324
Mascot,Tennessee,Knox,36.0673,-83.765,2361.0,130.0,polygon,37924 37806
Sewanee,Tennessee,Franklin,35.1975,-85.9213,2352.0,233.0,polygon,37375 37383
Central,Tennessee,Carter,36.3289,-82.294,2350.0,257.0,polygon,37601
Mosheim,Tennessee,Greene,36.1955,-82.9655,2337.0,144.0,polygon,37743 37818 37809
Parsons,Tennessee,Decatur,35.6512,-88.1231,2290.0,218.0,polygon,38363
Walnut Hill,Tennessee,Sullivan,36.5679,-82.2655,2286.0,214.0,polygon,37620
Alamo,Tennessee,Crockett,35.783,-89.1168,2277.0,400.0,polygon,38001
Tazewell,Tennessee,Claiborne,36.4625,-83.567,2276.0,202.0,polygon,37879
