"accident_number","date_and_time","number_of_motor_vehicles","number_of_injuries","number_of_fatalities","property_damage","hit_and_run","reporting_officer","collision_type","collision_type_description","weather","weather_description","illuaccidemination","illumination_description","harmfulcodes","harmfuldescriptions","street_address","city","state","zip","rpa","precinct","lat","long","mapped_location"
"20200641327","2020-10-09T17:38:00.000","3","2","0",,"false","384433","11","Front to Rear",,,"3","DARK - LIGHTED","12;14","MOTOR VEHICLE IN TRANSPORT;PARKED MOTOR VEHICLE","MM 87 2 I 65","NASHVILLE","TN","37207","18020","EAST","36.2054","-86.7764","POINT (-86.7764 36.2054)"
"20200641298","2020-10-09T15:00:00.000","2","0","0",,"true","384402","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","5TH AVS & BROADWAY","NASHVILLE","TN","37203","4089","CENTRA","36.1605","-86.7784","POINT (-86.7784 36.1605)"
"20200641260","2020-10-09T16:36:00.000","2","0","0",,"false","279112","5","SIDESWIPE - SAME DIRECTION","2","RAIN","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 0 5 I 440","NASHVILLE","TN","37209","5232","WEST","36.1514","-86.8228","POINT (-86.8228 36.1514)"
"20200641250","2020-10-09T15:50:00.000","2","0","0",,"false","256414","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","CHARLOTTE PKE & WESTBORO DR","NASHVILLE","TN","37209","5029","WEST","36.1453","-86.8717","POINT (-86.8717 36.1453)"
"20200641238","2020-10-09T16:49:00.000","3","1","0",,"false","256383","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 53 5 I 24","NASHVILLE","TN","37210","88141","SOUTH","36.1122","-86.7232","POINT (-86.7232 36.1122)"
"20200641225","2020-10-09T13:44:00.000","3","0","0",,"false","384421","4","ANGLE","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MURFREESBORO PKE & MT VIEW RD","ANTIOCH","TN","37013","8865","SOUTH","36.0543","-86.6186","POINT (-86.6186 36.0543)"
"20200641209","2020-10-09T16:27:00.000","3","1","0",,"false","311799","11","Front to Rear",,,"5","DUSK","12","MOTOR VEHICLE IN TRANSPORT","MM 87 2 I 65","NASHVILLE","TN","37207","18020","EAST","36.2054","-86.7764","POINT (-86.7764 36.2054)"
"20200641207","2020-10-09T16:25:00.000","3","1","0",,"false","409191","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 92 5 I 65","MADISON","TN","37115","1704","MADISO","36.2678","-86.7369","POINT (-86.7369 36.2678)"
"20200641199","2020-10-09T16:24:00.000","1","1","0",,"false","409154","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","2","RAIN","1","DAYLIGHT","8","PEDESTRIAN","DOUGLAS AV & N 7TH ST","NASHVILLE","TN","37207","1905","EAST","36.1938","-86.7592","POINT (-86.7592 36.1938)"
"20200641139","2020-10-09T15:21:00.000","1","0","0","true","true","384425","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"1","DAYLIGHT","47","FIRE HYDRANT","SEMINARY ST & LOCK RD","NASHVILLE","TN","37207","3001","NORTH","36.1999","-86.7875","POINT (-86.7875 36.1999)"
"20200641131","2020-10-09T15:40:00.000","2","0","0",,"false","384414","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MYATT DR & GALLATIN PKEN","MADISON","TN","37115","1731","MADISO","36.2967","-86.699","POINT (-86.699 36.2967)"
"20200641112","2020-10-09T09:30:00.000","2","0","0",,"false","352168","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","UNA ANTIOCH PKE & NASHBORO BLVD","ANTIOCH","TN","37013","8891","SOUTH","36.0869","-86.6487","POINT (-86.6487 36.0869)"
"20200641064","2020-10-09T15:05:00.000","2","1","0",,"false","320599","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 214 4 I 40","NASHVILLE","TN","37210","90061","HERMIT","36.1431","-86.7063","POINT (-86.7063 36.1431)"
"20200641047","2020-10-09T13:44:00.000","2","0","0",,"false","311799","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","US HWY 431 & HAMPTON ST","NASHVILLE","TN","37207","3007","NORTH","36.2067","-86.7804","POINT (-86.7804 36.2067)"
"20200641035","2020-10-09T14:54:00.000","2","0","0",,"false","409206","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","MM 37 7 I 24","WHITES CREEK","TN","37189","2212","NORTH","36.3106","-86.8263","POINT (-86.8263 36.3106)"
"20200641028","2020-10-09T14:04:00.000","2","1","0",,"false","197054","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","I40 E ENT RAMP & I 24","NASHVILLE","TN","37217","8816","SOUTH","36.1363","-86.7267","POINT (-86.7267 36.1363)"
"20200641026","2020-10-09T14:52:00.000","1","0","0","true","false","279194","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"1","DAYLIGHT","30","UTILITY POLE","BUENA VISTA PKE & MATTIE ST","NASHVILLE","TN","37218","3101","NORTH","36.2","-86.8253","POINT (-86.8253 36.2)"
"20200641016","2020-10-09T13:44:00.000","2","0","0",,"false","311332","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ELLINGTON PKWYS & ELLINGTON PKWY S ENT R","NASHVILLE","TN","37207","1996","EAST","36.1828","-86.7615","POINT (-86.7615 36.1828)"
"20200640986","2020-10-09T14:16:00.000","2","0","0",,"false","630627","11","Front to Rear","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","US HWY 31W & OLD DUE WEST AVE","NASHVILLE","TN","37207","2011","MADISO","36.2472","-86.7567","POINT (-86.7567 36.2472)"
"20200640935","2020-10-09T13:10:00.000","3","1","0",,"false","262757","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","CHARLOTTE AV & 45TH AVN","NASHVILLE","TN","37209","5203","WEST","36.1522","-86.8411","POINT (-86.8411 36.1522)"
"20200640922","2020-10-09T13:17:00.000","2","1","0","true","false","594473","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"1","DAYLIGHT","57","Cable Barrier","MM 195 2 I 40","NASHVILLE","TN","37221","4804","WEST","36.0739","-86.9736","POINT (-86.9736 36.0739)"
"20200640907","2020-10-09T12:15:00.000","2","0","0",,"false","161946","11","Front to Rear","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ARTELIA DR & RICHARDS RD","ANTIOCH","TN","37013","8899","SOUTH","36.0685","-86.6743","POINT (-86.6743 36.0685)"
"20200640902","2020-10-09T13:02:00.000","3","4","0",,"false","140790","11","Front to Rear","21","CLEAR","1","DAYLIGHT","12;13","MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY","DONELSON PKE & ELM HILL PKE","NASHVILLE","TN","37214","9105","HERMIT","36.1676","-86.7787","POINT (-86.7787 36.1676)"
"20200640897","2020-10-09T12:55:00.000","3","1","0",,"false","226098","11","Front to Rear",,,"1","DAYLIGHT","12;13;34","MOTOR VEHICLE IN TRANSPORT;MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY;DITCH","MM 86 6 I 65","NASHVILLE","TN","37207","3002","NORTH","36.1959","-86.7761","POINT (-86.7761 36.1959)"
"20200640876","2020-10-09T13:08:00.000","2","0","0",,"false","725774","4","ANGLE",,,"1","DAYLIGHT","13","MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY","GREENWOOD AV & GALLATIN AV","NASHVILLE","TN","37206","1321","EAST","36.1908","-86.7453","POINT (-86.7453 36.1908)"
"20200640802","2020-10-09T11:59:00.000","2","0","0",,"false","140790","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","LEBANON PKE & GRAYLYNN DR","NASHVILLE","TN","37214","9113","HERMIT","36.1699","-86.6744","POINT (-86.6744 36.1699)"
"20200640797","2020-10-09T11:58:00.000","2","0","0",,"false","594473","4","ANGLE",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","ANNEX AV & CHARLOTTE PKE","NASHVILLE","TN","37209","5009","WEST","36.14","-86.8818","POINT (-86.8818 36.14)"
"20200640746","2020-10-09T11:25:00.000","2","0","0",,"false","420035","11","Front to Rear",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","NEELYS BEND RD & GALLATIN PKES","MADISON","TN","37115","1783","MADISO","36.2562","-86.7144","POINT (-86.7144 36.2562)"
"20200640733","2020-10-09T10:20:00.000","2","0","0",,"false","628640","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","BRILEY PKWYS & BRILEY PKWYN","NASHVILLE","TN","37218","3212","NORTH","36.2142","-86.8724","POINT (-86.8724 36.2142)"
"20200640696","2020-10-09T10:49:00.000","1","0","0","true","false","409219","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT","21","CLEAR","1","DAYLIGHT","34","DITCH","RIVER ROAD PKE & RIVER ROAD PKE PVTDR","NASHVILLE","TN","37209","4705","WEST","36.2021","-86.9796","POINT (-86.9796 36.2021)"
"20200640656","2020-10-09T10:00:00.000","2","0","0",,"false","420040","5","SIDESWIPE - SAME DIRECTION",,,"1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","21ST AVS & BLAIR BLVD","NASHVILLE","TN","37212","6607","MIDTOW","36.1304","-86.802","POINT (-86.802 36.1304)"
"20200640542","2020-10-09T09:02:00.000","2","0","0",,"false","594473","4","ANGLE","22","CLOUDY","1","DAYLIGHT","12","MOTOR VEHICLE IN TRANSPORT","CHARLOTTE PKE & WESTBORO DR","NASHVILLE","TN","37209","5027","WEST","36.1459","-86.871","POINT (-86.871 36.1459)"
"20200640457","2020-10-09T06:33:00.000","2","0","0",,"false","4000719","4","ANGLE",,,"1","DAYLIGHT","13","MOTOR VEHICLE IN TRANSPORT-OTHER ROADWAY","ROUND ROCK DR & AMBERTON CT","ANTIOCH","TN","37013","8903","SOUTH","36.0362","-86.5881","POINT (-86.5881 36.0362)"
"20200640362","2020-10-09T07:01:00.000","2","1","0",,"false","206964","11","Front to Rear","22","CLOUDY","4","DAWN","12","MOTOR VEHICLE IN TRANSPORT","MM 87 7 I 65","NASHVILLE","TN","37207","1804","EAST","36.2114","-86.7757","POINT (-86.7757 36.2114)"
"20200640204","2020-10-08T22:45:00.000","2","0","0",,"true","4001452","5","SIDESWIPE - SAME DIRECTION",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","FIRESTONE PKWY & OLD HICKORY BLVD","ANTIOCH","TN","37013","8869","SOUTH","36.0168","-86.6199","POINT (-86.6199 36.0168)"
"20200639959","2020-10-09T00:10:00.000","1","0","0",,"false","212330","0","NOT COLLISION W/MOTOR VEHICLE-TRANSPORT",,,"3","DARK - LIGHTED","50","DEER (ANIMAL)","HIGHLAND VIEW DR & MCKENDREE CIR","HERMITAGE","TN","37076","9535","HERMIT","36.2074","-86.6103","POINT (-86.6103 36.2074)"
"20200639897","2020-10-09T00:25:00.000","2","0","0",,"false","101064","4","ANGLE","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","HARRISON ST & 5TH AVN","NASHVILLE","TN","37219","4203","CENTRA","36.1704","-86.7842","POINT (-86.7842 36.1704)"
"20200639891","2020-10-08T20:15:00.000","2","0","0",,"false","279217","4","ANGLE","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 86 9 I 65","NASHVILLE","TN","37207","3002","NORTH","36.2009","-86.7768","POINT (-86.7768 36.2009)"
"20200639832","2020-10-08T21:25:00.000","2","0","0",,"true","372814","5","SIDESWIPE - SAME DIRECTION","21","CLEAR","3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","MM 213 6 I 40","NASHVILLE","TN","37217","8802","HERMIT","36.1406","-86.7202","POINT (-86.7202 36.1406)"
"20200639765","2020-10-08T21:40:00.000","2","0","0",,"false","256427","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","NOLENSVILLE PKE & OLD HICKORY BLVD","NASHVILLE","TN","37211","8717","SOUTH","36.0454","-86.7133","POINT (-86.7133 36.0454)"
"20200639750","2020-10-08T00:00:00.000","2","2","0",,"false","352195","2","HEAD-ON",,,"7","Dark-Unknown Lighting","12","MOTOR VEHICLE IN TRANSPORT","DICKERSON PKE & I65 N ENT RAMP","NASHVILLE","TN","37216","1805","EAST","36.2361","-86.7582","POINT (-86.7582 36.2361)"
"20200639686","2020-10-08T19:50:00.000","2","0","0",,"true","299243","5","SIDESWIPE - SAME DIRECTION",,,"3","DARK - LIGHTED","14","PARKED MOTOR VEHICLE","EAST MAPLES SUITES PVTDR & RANDY RD","MADISON","TN","37115","1629","MADISO","36.2626","-86.6904","POINT (-86.6904 36.2626)"
"20200639684","2020-10-08T20:40:00.000","2","2","0",,"false","298867","11","Front to Rear",,,"3","DARK - LIGHTED","12;24;39","MOTOR VEHICLE IN TRANSPORT;GUARDRAIL FACE;WALL","MM 88 3 I 65","NASHVILLE","TN","37207","18041","EAST","36.2201","-86.7743","POINT (-86.7743 36.2201)"
"20200639677","2020-10-08T00:00:00.000","2","1","0",,"false","279233","4","ANGLE",,,"3","DARK - LIGHTED","12","MOTOR VEHICLE IN TRANSPORT","GRANNY WHITE PKE & GRANDVIEW DR","NASHVILLE","TN","37204","7007","MIDTOW","36.1079","-86.7939","POINT (-86.7939 36.1079)"
"20200639612","2020-10-08T00:00:00.000","2","0","0",,"true","352209","2","HEAD-ON",,,"1","DAYLIGHT","14","PARKED MOTOR VEHICLE","800 S 6TH ST","NASHVILLE","TN","37206","1015","EAST","36.1648","-86.7585","POINT (-86.7585 36.1648)"
